City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Revelstoke,CA,50.98,-118.20,42.82,87,0,2.30,clear sky
251,Agadez,NE,19.75,10.25,102.49,12,3,7.78,clear sky
252,Mount Gambier,AU,-37.83,140.77,54.70,79,100,5.57,overcast clouds
253,Ust-Nera,RU,64.57,143.20,28.49,98,95,5.30,overcast clouds
254,Nishihara,JP,26.18,127.76,80.65,81,100,20.71,overcast clouds
255,Pimentel,PE,-6.84,-79.93,62.89,82,100,6.91,smoke
256,Haines Junction,CA,60.75,-137.51,35.55,87,100,2.30,overcast clouds
257,Nizwa,OM,22.93,57.53,91.87,29,96,7.94,overcast clouds
258,Husavik,IS,66.04,-17.34,56.50,72,19,2.39,few clouds
259,San Cristobal,VE,7.77,-72.22,73.58,48,22,3.06,few clouds
260,Savalou,BJ,7.93,1.98,78.98,82,100,6.76,overcast clouds
261,Broome,US,42.25,-75.83,64.69,82,100,6.91,overcast clouds
262,Roi Et,TH,15.75,103.75,78.85,91,100,6.58,light rain
263,Alihe,CN,50.57,123.72,45.43,52,100,4.54,overcast clouds
264,Ballina,AU,-28.87,153.57,59.02,97,100,8.57,overcast clouds
265,Coihaique,CL,-45.58,-72.07,39.15,81,75,0.00,broken clouds
266,Mehamn,NO,71.04,27.85,42.75,75,75,13.80,broken clouds
267,Hovd,MN,48.01,91.64,54.01,25,0,4.56,clear sky
268,Caarapo,BR,-22.63,-54.82,68.22,87,100,5.97,overcast clouds
269,Bochov,CZ,50.15,13.05,52.11,62,40,9.22,scattered clouds
270,Olafsvik,IS,64.89,-23.71,51.62,92,100,14.23,overcast clouds
271,Alice Springs,AU,-23.70,133.88,62.15,34,0,10.36,clear sky
272,Sibolga,ID,1.74,98.78,78.10,84,99,2.48,overcast clouds
273,Ozinki,RU,51.18,49.68,71.22,56,100,10.11,light rain
274,Bryukhovychi,UA,49.90,23.96,52.39,79,100,7.63,light rain
275,Marsa Matruh,EG,31.35,27.25,80.80,61,0,13.80,clear sky
276,Luderitz,NA,-26.65,15.16,70.23,39,0,15.97,clear sky
277,Ekibastuz,KZ,51.67,75.37,66.76,33,0,3.13,clear sky
278,Geraldton,AU,-28.77,114.60,61.21,82,100,0.00,overcast clouds
279,Talnakh,RU,69.49,88.40,27.21,83,61,3.98,broken clouds
280,Mexico,PH,15.06,120.72,78.51,93,100,5.46,overcast clouds
281,Sioux Lookout,CA,50.10,-91.92,62.67,88,20,5.75,mist
282,Chiredzi,ZW,-21.05,31.67,98.64,13,26,8.66,scattered clouds
283,Tommot,RU,58.96,126.29,37.51,99,100,2.93,light rain
284,Songjianghe,CN,42.19,127.48,34.79,79,0,4.16,clear sky
285,Kupang,ID,-10.17,123.58,79.20,74,9,10.29,clear sky
286,Botwood,CA,49.15,-55.35,58.89,42,2,5.41,clear sky
287,Binzhou,CN,37.37,118.02,59.22,64,0,7.23,clear sky
288,Pokhara,NP,28.23,83.98,73.08,90,41,2.17,scattered clouds
289,Ca Mau,VN,9.18,105.15,78.03,87,100,4.92,overcast clouds
290,Hokitika,NZ,-42.72,170.97,49.10,88,89,5.30,overcast clouds
291,Bethel,US,41.37,-73.41,73.00,80,0,5.99,clear sky
292,Qui Nhon,VN,13.77,109.23,78.17,89,100,5.57,moderate rain
293,Kadaya,RU,50.93,119.29,47.97,47,100,3.78,overcast clouds
294,Vestmannaeyjar,IS,63.44,-20.27,52.79,100,100,9.22,drizzle
295,Peoria,US,40.77,-89.77,79.61,86,0,8.05,clear sky
296,Samarai,PG,-10.62,150.67,80.13,86,100,11.43,overcast clouds
297,Guerrero Negro,MX,27.98,-114.06,69.80,81,100,9.51,overcast clouds
298,Springdale,US,36.19,-94.13,82.54,75,0,6.91,clear sky
299,Lahat,ID,-3.80,103.53,75.56,81,100,2.89,overcast clouds
300,Zajas,MK,41.61,20.94,62.60,43,78,4.70,broken clouds
301,Bukachacha,RU,52.98,116.92,42.22,96,100,4.27,overcast clouds
302,Hirara,JP,24.80,125.28,79.88,80,100,18.66,overcast clouds
303,Santa Cruz,BO,-17.80,-63.17,72.86,73,75,13.80,light rain
304,Gursu,TR,40.22,29.19,71.26,51,18,12.62,few clouds
305,The Valley,AI,18.22,-63.06,87.66,79,20,13.80,few clouds
306,Ahuimanu,US,21.44,-157.84,78.51,72,20,10.36,few clouds
307,Charthawal,IN,29.55,77.58,82.80,71,86,4.03,overcast clouds
308,Airai,TL,-8.93,125.41,60.57,92,93,3.09,overcast clouds
309,Shalya,RU,57.25,58.73,59.97,72,100,5.19,overcast clouds
310,Satinka,RU,52.38,41.68,60.98,46,82,3.87,broken clouds
311,Taree,AU,-31.90,152.47,53.11,92,100,4.29,overcast clouds
312,Petatlan,MX,17.52,-101.27,76.80,92,100,2.17,overcast clouds
313,Princeton,US,25.54,-80.41,89.02,73,0,6.91,clear sky
314,Usogorsk,RU,63.41,48.69,49.48,91,100,13.02,moderate rain
